job	step	exit	started	finished	workdir
frontend-lint	04-npm-ci	0	2026-09-18T09:11:52Z	2026-09-18T09:11:54Z	frontend/marketops-console
frontend-lint	05-lint	0	2026-09-18T09:11:54Z	2026-09-18T09:12:03Z	frontend/marketops-console
frontend-lint	06-format	0	2026-09-18T09:12:03Z	2026-09-18T09:12:06Z	frontend/marketops-console
frontend-typecheck	04-npm-ci	0	2026-09-18T09:12:12Z	2026-09-18T09:12:14Z	frontend/marketops-console
frontend-typecheck	05-typecheck	0	2026-09-18T09:12:14Z	2026-09-18T09:12:18Z	frontend/marketops-console
frontend-test	05-npm-ci	0	2026-09-18T09:12:23Z	2026-09-18T09:12:25Z	frontend/marketops-console
frontend-test	06-test-ci	0	2026-09-18T09:12:25Z	2026-09-18T09:12:34Z	frontend/marketops-console
frontend-test	07-coverage-proof	0	2026-09-18T09:12:34Z	2026-09-18T09:12:41Z	.
frontend-test	08-playwright	0	2026-09-18T09:12:41Z	2026-09-18T09:12:43Z	frontend/marketops-console
frontend-test	09-business-browser	0	2026-09-18T09:12:43Z	2026-09-18T09:14:08Z	.
frontend-test	10-backstop-cleanup	0	2026-09-18T09:14:08Z	2026-09-18T09:14:08Z	.
frontend-test	11-advertising-browser	0	2026-09-18T09:14:08Z	2026-09-18T09:15:36Z	.
frontend-build	04-npm-ci	0	2026-09-18T09:15:43Z	2026-09-18T09:15:45Z	frontend/marketops-console
frontend-build	05-verify-bundle	0	2026-09-18T09:15:45Z	2026-09-18T09:15:51Z	frontend/marketops-console
frontend-build	06-build	0	2026-09-18T09:15:51Z	2026-09-18T09:15:55Z	frontend/marketops-console
frontend-build	07-inventories	0	2026-09-18T09:15:55Z	2026-09-18T09:15:57Z	frontend/marketops-console
frontend-build	08-artifacts-present	0	2026-09-18T09:15:57Z	2026-09-18T09:15:57Z	.
